issue_id,business_type,category,subcategory,current_transaction_model,recommended_transaction_model,current_problem,affected_user,competitor_reference,missing_fields,missing_modules,trust_gap,conversion_impact,severity,recommended_solution,phase,development_effort,dependencies,affected_files,status
MJ-011,"fitness,education",لياقة/تعليم,membership-course,"L declared (WhatsApp card)","L membership + enrollment","store_membership_plans/store_courses are price cards + wa.me; no enrollment/expiry/renewal record","customer+merchant","Mindbody,Glofox,Udemy","starts_on,ends_on,sessions_left,seats,certificate,trial","membership-ledger,enrollment","no real membership record",high,high,"Add memberships + enrollments tables + subscribe/enroll RPCs",Phase 2,L,"none",store_membership_plans;store_courses,done
MJ-012,events,مناسبات وقاعات,event-ticket,"C (hourly timeslot)","K tickets + D venue","hourly resource booking; no ticket type/quantity/attendee/per-event capacity","customer+merchant","Eventbrite","ticket_type,quantity,attendee_info,capacity_per_event","ticketing,venue-stay","-",high,high,"Add ticket_types + ticket_orders; venue date-range for halls",Phase 2,L,"MJ-001",timeslot-booking.tsx,done
MJ-013,"realEstate,automotive,retail",متعدّد,filters,"exact-match filters","typed range filters","attributes exact-match dropdowns only; no price/area/year/mileage ranges","customer","Bayut,AutoTrader","range_filters(price,area,year,mileage,rooms)","sector_field_defs","hard to search",medium,high,"sector_field_defs typed fields + range filtering",Phase 2,M,"sector_definitions",attributes.ts;store-products.tsx,open
MJ-014,retail,تسوّق ومنتجات,electronics/furniture,"A","A + structured fields","retail defines NO attributes; electronics/furniture lack brand/specs/warranty/dimensions/assembly","customer","Amazon,Noon,IKEA","brand,specs,warranty,condition,dimensions,material,assembly,made_to_order","sector_field_defs","-",medium,medium,"Add per-subvertical attribute defs; size guide; structured return policy",Phase 2,M,"MJ-013",attributes.ts,open
MJ-015,retail,تسوّق ومنتجات,fashion,"A","A","no size guide, no product measurements, unstructured return policy, no comparison","customer","Zara,ASOS","size_guide,measurements,return_policy,compare","-","return anxiety",low,medium,"Add size guide + structured return policy + wishlist",Phase 3,S,"none",product schema,open
MJ-016,"services,contractors",خدمات/مقاولات,field-service,"F (generic)","F+","request form generic (desc+addr+phone); no photos/urgency/service_area/assignment/tracking","customer+provider","TaskRabbit,Angi","photos,urgency,service_area,preferred_at,assigned_provider,tracking,completion","-","no completion proof",high,high,"Extend service_requests fields + provider assignment + tracking",Phase 2,M,"MJ-006",service_requests schema,open
MJ-017,professional,خدمات مهنية,quote-project,"F (generic)","G brief","no structured project brief (scope/budget/timeline/files); consultation booking not surfaced","client","Clutch,Upwork","project_scope,budget_range,timeline,file_upload,credentials","-","no credentials shown",high,high,"Add project brief fields + credentials/case-studies; wire consultation",Phase 2,M,"MJ-005,MJ-006",service_requests schema,open
MJ-018,petCare,عناية بالحيوانات,vet,"A (product grid — misgated)","C (appointment)","not in bookingCategories → product grid; no pet species/breed at booking","client","Fresha","species,breed,pet_size","-","-",critical,high,"Fix gate (MJ-005) + add pet fields to booking",MVP,S,"MJ-005",booking-panel.tsx,stale
MJ-019,sportsCourts,ملاعب ورياضة,court,"timeslot (partial)","timeslot + hourly price","resource hourly booking works but no per-hour price shown, weak per-court availability, no waitlist/attendance","customer","Playtomic(للتحقّق)","hourly_price,court_calendar","-","-",medium,medium,"Surface hourly price + per-court calendar; align with main booking engine",Phase 3,M,"none",timeslot-booking.tsx,done
MJ-020,healthcare,صحة وعيادات,clinic,"C (works)","C+","no appointment type (in-person/online), new/returning flag, prep instructions, structured insurance, emergency disclaimer","patient","Doctolib,Vezeeta","appt_type,patient_status,prep_instructions,insurance,disclaimer","-","no license number shown",medium,medium,"Add appointment fields + surface license; keep NO medical records",Phase 2,S,"none",booking-panel.tsx,open
MJ-021,beauty,تجميل وعناية,salon,"A (product grid — misgated)","C (appointment)","not in bookingCategories → product grid; no staff pick, duration capacity, packages, deposit, before/after","client","Fresha,Booksy","staff_select,duration_capacity,packages,deposit,before_after","-","-",critical,high,"Fix gate (MJ-005) + staff select + packages",MVP,S,"MJ-005",store/[id]/page.tsx,stale
MJ-022,ALL,متعدّد,category-engine,"code-keyed by slug","hybrid sector_definitions","transaction model/CTA/fields/modules hardcoded on slug; admin business-types is label CRUD; novel slug crashes pages","admin+merchant","-","sector_definitions,sector_field_defs","dynamic-engine","-",high,high,"Build sector_definitions config table; drive page from it; constrain admin to enums",Phase 2,XL,"MJ-005",sectors.ts;modules.ts;business_types,open
MJ-023,ALL,متعدّد,onboarding,"single 8-field form","sector-aware onboarding","onboarding collects 8 generic fields; no sector fields; no profile-completeness/go-live checklist","merchant","Shopify,Salla(للتحقّق)","sector_fields,completeness","-","stores launch empty",high,medium,"Sector-aware onboarding + profile completeness + publish requirements",Phase 2,L,"MJ-022",merchant/new;store-form.tsx,done
MJ-024,ALL,متعدّد,checkout-divergence,"two checkouts","unified checkout","product-order.tsx omits zone/coupon/loyalty/custom_fields/guest that store cart supports","customer","-","-","-","guest dead-end on product page",medium,medium,"Unify single-item checkout with store cart RPC path",Phase 2,S,"none",product-order.tsx,open
MJ-025,ALL,متعدّد,min-order-enforcement,"client-side only","server-side","stores.min_order enforced client-side only (bypassable); only zone min in RPC","merchant","-","-","-","-",low,low,"Enforce store min_order inside order RPC",Phase 2,XS,"none",place_order RPC,done
MJ-026,ALL,متعدّد,trust-report,"market only","platform-wide","report button exists for Sunday Market only; not on stores/listings","customer","-","report_store,report_listing","-","no abuse recourse",medium,medium,"Generalize report button to stores + listings",Phase 2,S,"none",store/[id]/page.tsx,open
MJ-027,ALL,متعدّد,deposit,"none","manual deposit","no deposit/hold concept for high-value bookings (hotel/events/pro)","merchant","-","deposit_amount,deposit_status","-","-",low,low,"Manual deposit fields + OMT/Whish instructions (no gateway)",Phase 3,S,"MJ-001",bookings schema,open
MJ-028,ALL,متعدّد,two-listing-systems,"unlinked","linked/unified","products+attributes vs listings(Sunday Market) are separate schemas + search","customer","-","-","-","real-estate/auto stores invisible to /market",medium,medium,"Decide: unify or bridge search across both listing systems",Phase 3,L,"MJ-013",listings;products,open
