issue_id,title,category,subsystem,severity,confidence,finding_type,affected_role,affected_route,file_path,function_or_component,line_number,database_entity,description,evidence,reproduction_steps,user_impact,business_impact,security_impact,scalability_impact,recommended_fix,estimated_effort,dependencies,test_required,owner,status
MJ-A02,get_push_subs anon-callable; guarded by shared static secret,Security,Notifications,Medium,Confirmed,Security,anon,push hook,supabase/migrations/0049_push_on_events.sql,get_push_subs,18,push_subscriptions,"definer granted anon; any uid + one secret returns push crypto","0049:18 grant to anon","Call with any uid + leaked secret",—,Push hijack if secret leaks,"Broken access (A01/A07)",none,"Revoke anon; restrict service role; rotate secret",S,—,Test,DB,Open
MJ-A03,Over-broad staff access on new engines,Security,RLS,Medium,Confirmed,Security,merchant staff,merchant modules,supabase/migrations/0193_event_tickets.sql,manage policies,43,event_tickets;stay_bookings;leads;accommodation_units,"can_manage_store (any staff) not staff_can(section); regresses 0159","0193:43; 0191:87","Orders-only staff reads attendee PII",—,PII over-exposure to staff,"Access control (A01)",none,"Gate on staff_can(store,section)",M,—,RLS test,DB,Open
MJ-A04,product_modifier_groups public read no status filter,Security,RLS,Low,Confirmed,Security,anon,storefront,supabase/migrations/0194_food_modifiers.sql,modifier_groups_select,31,product_modifier_groups,"returns groups for draft/hidden products of inactive stores","0194:31","Enumerate draft menu structure",—,Minor info leak,"Access control (A01)",none,"Add product active+not-deleted filter",S,—,RLS test,DB,Open
MJ-A05,order_items SELECT not extended to staff/admin,Security,RLS,Low,Confirmed,Maintainability,merchant staff,merchant orders,supabase/migrations/0006_orders.sql,order_items_select,86,order_items,"under-permissive vs orders SELECT (staff/admin cannot read line items)","0006:86","Staff opens order detail","Staff cannot see items",Fulfillment friction,none (under-permissive),none,"Mirror orders SELECT predicate",S,—,Test,DB,Open
MJ-S01,Public write RPCs missing rate limits,Security,Backend,Medium,Confirmed,Security,anon,stay/ticket flows,supabase/migrations/0191_accommodation_engine.sql,place_stay_booking;buy_tickets,—,stay_bookings;event_tickets,"no rate-limit unlike guest order/lead","see MJ-R02/R03","Spam public forms",Denial,Abuse,Public abuse,Worsens,"Add per-phone/hour rate-limit",S,MJ-R02;MJ-R03,Test,DB,Open
MJ-S02,JSON-LD raw HTML sink needs escape verification,Security,Frontend,Low,Needs runtime verification,Security,anon,public pages,src/lib/jsonld.ts,jsonLdScript,231,—,"7 dangerouslySetInnerHTML render JSON-LD from user-controlled names","jsonld.ts:231; 7 call sites","Store name with </script>",—,Stored XSS if unescaped,"Injection (A03)",none,"Confirm < and </script> escaped in jsonLdScript",S,—,Test,FE,Open
MJ-S03,Push API route auth/replay/size not verified,Security,API,Medium,Needs runtime verification,Security,anon,/api/push/*,src/app/api/push/hook/route.ts,route,—,—,"secret validation + replay + payload cap unverified","route file","Send forged/duplicate hook",—,Push abuse,"A08",none,"Verify shared-secret + reject oversized/duplicate",S,—,Test,FE,Open
MJ-S04,Leaked-password protection disabled,Security,Auth,Low,Confirmed,Security,customer,login/signup,—,Supabase Auth,—,—,"advisor auth_leaked_password_protection off","get_advisors(security)","n/a",Weaker passwords accepted,Account risk,"A07",none,"Enable in Supabase dashboard",XS,—,none,Owner,Open
MJ-P01,Store page serial query waterfall,Performance,Storefront,High,Confirmed,Performance,anon,store/[id],src/app/[lang]/(site)/store/[id]/page.tsx,StorePage,155-479,—,"~12-18 independent awaits run sequentially","store page 155-479","Load any real store page","Slow TTFB","SEO+conversion","none","Additive latency grows per module","Batch into 2-3 Promise.all waves",M,—,Perf test,FE,Open
MJ-P02,Unbounded list queries (reviews/orders/admin),Performance,Multiple,High,Confirmed,Scalability,merchant/admin,store+orders+admin,src/app/[lang]/(dashboard)/merchant/[storeId]/orders/page.tsx,pages,72,orders;reviews;stores;profiles,"select+order without limit/range on growth tables","orders 72; store reviews 161; admin stores 34; admin users 25","Store with many orders","Eventual timeout/OOM","Dashboard fails at scale",none,"Grows unbounded","Add range/limit pagination",M,—,Perf test,FE,Open
MJ-P03,Sitemap enumerates all rows x locales,Performance,SEO,High,Confirmed,Scalability,bot,/sitemap.xml,src/app/sitemap.ts,sitemap,56-171,products;stores,"all active products+stores x locales unbounded in one request","sitemap.ts:56-171","Crawl sitemap at scale","Slow/OOM; >50k URL limit","SEO breakage",none,"Linear/unbounded","generateSitemaps index + chunk + range + cache",M,—,Perf test,FE,Open
MJ-P04,Duplicate realtime channels + pollers,Performance,Notifications,High,Confirmed,Scalability,customer,all signed-in,src/components/realtime-notifications.tsx,RealtimeNotifications+HeaderBells,49,notifications,"2 channels + 2 polls per signed-in page (both layouts)","realtime-notifications.tsx:49; header-bells.tsx:65","Sign in on any page","2x WS + poll","Realtime cap/cost",none,"2x WebSocket at scale","Consolidate to one channel+poller",M,—,Perf test,FE,Open
MJ-P05,Hot public reads not cached,Performance,Caching,Medium,Confirmed,Performance,anon,offers/clearance/best-sellers/market,src/lib/data/offers.ts,getOffers/getClearance/getBestSellers/getAcademyGuides,17,—,"recomputed per request against Postgres","offers.ts:17; best-sellers.ts:17; academy.ts:40; market.ts:89","Load /offers repeatedly","Slower + costlier",Cost,none,"Per-request DB on hot routes","Wrap in unstable_cache with tags",S,—,Perf test,FE,Open
MJ-P06,message-thread polls full list every 4s no visibility gate,Performance,Messaging,Medium,Confirmed,Performance,customer,messages,src/components/message-thread.tsx,MessageThread,41,messages,"refetch all messages every 4s unbounded no visibility gate","message-thread.tsx:41","Leave thread open in bg tab","Battery/data + payload growth",Cost,none,"Grows with thread","Visibility gate + limit/cursor or realtime",S,—,Test,FE,Open
MJ-P07,getPublicStoreView internal reads sequential,Performance,Data,Medium,Confirmed,Performance,anon,store,src/lib/data/store-view.ts,getPublicStoreView,96-158,—,"store->products->sections->checkout_fields sequential","store-view.ts:96-158","Cache miss on store view","Slower cache-miss",Cost,none,"Serial on miss","Promise.all sections/checkout/bundle",S,—,Test,FE,Open
MJ-P08,Explore/near-me sorts full 200-store array client-side,Performance,Discovery,Medium,Confirmed,Scalability,anon,/explore,src/lib/data/stores.ts,fetchActiveStores+ExploreClient,63-101,stores,"200-cap; region/category/distance filtered in JS","stores.ts:63","Store count approaches 200","Silently drops stores",Discovery breakage,none,"Hard 200 cap","Server-side pagination + PostGIS nearest",L,—,Perf test,FE,Open
MJ-D01,Missing unique constraints memberships/enrollments,Database,Schema,High,Confirmed,Data integrity,—,—,supabase/migrations,—,—,store_memberships;course_enrollments,"no unique index enabling MJ-R01","pg_indexes","see MJ-R01",—,—,none,"Enables race","Partial unique indexes",S,MJ-R01,Test,DB,Open
MJ-D02,17 FKs without covering index,Database,Schema,Medium,Confirmed,Scalability,—,—,supabase/migrations,—,—,leads;orders;stay_bookings;event_tickets;store_memberships;+,"FK columns lack covering index","pg_constraint vs pg_index","Join/delete at scale",—,Slow joins+lock escalation,none,"Degrades joins at scale","create index per FK",S,—,Perf test,DB,Open
MJ-D03,orders missing (store_id,status,created_at) composite,Database,Schema,Medium,Confirmed,Scalability,merchant,merchant orders,supabase/migrations,—,—,orders,"merchant orders filters store+status sorts recent without composite","pg_indexes orders","Orders grow",—,Slower dashboard,none,"Sort+filter after scan","Add composite index",S,—,Perf test,DB,Open
MJ-D04,No partitioning/archival for append-only growth tables,Database,Schema,Medium,High,Scalability,—,—,supabase/migrations,—,—,orders;order_items;order_events;notifications;store_visits;audit_logs,"no partition or archive strategy","schema review","At millions of rows",—,Query/vacuum degradation,none,"Grows unbounded","Partition + archival plan",L,—,none,DB,Open
MJ-D05,store_visits analytics unbounded no retention,Database,Analytics,Medium,High,Scalability,—,—,supabase/migrations/0161,—,—,store_visits,"event table with no rollup/retention beyond summary RPC","0161","High-traffic stores",—,Storage cost+slow,none,"Unbounded growth","Rollup + retention job",M,—,none,DB,Open
MJ-C01,Untyped Supabase clients drive 113 double-casts,Maintainability,Codebase,Medium,Confirmed,Maintainability,—,—,src/lib/supabase/client.ts,createBrowserClient,6,—,"no Database generic; 304 as-casts incl 113 as-unknown-as","client.ts:6; server.ts:10","Rename a column","none (dev risk)","Silent column drift",none,none,"gen types + type clients",M,—,Typecheck,FE,Open
MJ-C02,Hardcoded sector slugs bypass registry,Maintainability,Codebase,Medium,Confirmed,Architecture,—,multiple,src/app/[lang]/(site)/store/[id]/page.tsx,pages,493,—,"category===food/services etc branch inline vs sectorConfig","store 493; merchant 740; product 365; home.ts 12","Add a sector","none","Multi-source-of-truth drift",none,none,"Move to sectorConfig capability flags",M,—,Test,FE,Open
MJ-C03,14 ESLint errors (React-19 hook rules),Maintainability,Codebase,Low,Confirmed,Bug,—,—,src/components/theme-toggle.tsx,components,17,—,"set-state-in-effect + purity","eslint . exit 1","n/a","Possible extra renders","none",none,none,"Refactor load-on-mount effects",M,—,Lint,FE,Open
MJ-DEP01,Heavy client libs statically imported,Dependency,Bundle,Medium,Confirmed,Performance,anon,map/qr/barcode pages,src/components/store-map.tsx,imports,4,—,"leaflet/qrcode/jsbarcode eager in client components","store-map.tsx:4; qr-generator.tsx:4","Load a map page","Larger bundle/TTI",Cost,none,"Eager ~150KB+","next/dynamic ssr:false",S,—,Build,FE,Open
MJ-DEP02,next/react pinned exact miss security patches,Dependency,Supply chain,Medium,Confirmed,Reliability,—,—,package.json,—,—,—,"exact pins skip 16.2.12/19.2.8 patches","package.json; npm outdated","n/a",—,Missed security patches,"Stale deps",none,"Bump pinned patch versions",XS,—,Build,FE,Open
MJ-O01,No application error tracking (APM),Operations,Observability,High,Confirmed,Operations,—,all,—,—,—,—,"no Sentry/APM; only console.error in 2 boundaries","repo grep","Production 500 spike","Invisible outages","Slow incident response",none,"Cannot detect at scale","Add error tracker",M,—,none,Owner,Open
MJ-O02,No alerting/uptime/structured logs,Operations,Observability,Medium,Confirmed,Operations,—,all,—,—,—,—,"no alerts on error/p95/connections; no uptime; no request IDs","repo review","Degradation",—,Blind operations,none,"No early warning","Alerts + uptime + structured logs",M,MJ-O01,none,Owner,Open
MJ-REC01,No staging; migrations applied to prod un-rehearsed,Reliability,Infra,High,Confirmed,Reliability,—,—,—,—,—,—,"single Supabase+Vercel; forward-only migrations; code rollback != schema rollback","infra review","Bad migration","Potential outage","Risky deploys",none,"No rehearsal","Add staging/branch DB + migration smoke + down scripts",M,—,none,Owner,Open
MJ-REC02,No backup-restore test / RPO/RTO,Reliability,Infra,Medium,Needs verification,Reliability,—,—,—,—,—,—,"backups assumed; restore never tested; RPO/RTO undefined","infra review","Data loss event","Unknown recovery","Business continuity",none,"Unknown recovery time","Test restore; define RPO/RTO",M,—,none,Owner,Open
MJ-T01,No concurrency/RPC/RLS tests,Reliability,Testing,High,Confirmed,Test gap,—,—,src/lib/__tests__,—,—,—,"8 test files; no RPC/RLS/race tests","vitest run","n/a",—,"Races ship undetected",none,"No safety net","pgTAP/harness for RPCs+RLS+contention",L,—,none,FE,Open
