issue_id,category,severity,priority,affected_role,affected_device,page_or_feature,file_path,line_number,issue_description,business_impact,user_impact,technical_impact,recommended_fix,estimated_effort,owner,status
ISS-011,Reliability,Medium,P1,Super Admin,All,"Audit logging is fire-and-forget and swallows all errors","src/lib/audit.ts",67,"logAdminAction is a client-side RPC that catches and discards every error. A failed audit write is invisible, and coverage depends on developers remembering to call it after each mutation.","Compliance/forensics gaps with no signal that the trail is incomplete","None directly (silent)","No guarantee every sensitive change is logged","Move critical audit logging to DB triggers on sensitive tables so it cannot be skipped or silently fail","L",Backend,open
ISS-012,Admin,Low,P2,Super Admin,All,"No bulk actions on any admin list","src/components/admin-moderation-client.tsx",1,"No admin page supports multi-select or bulk approve/reject/delete. Every mutation is per-row. Painful as moderation queues grow.","Admin throughput bottleneck at scale","Slow, repetitive moderation","Missing feature across all list clients","Add multi-select + bulk operations to moderation lists (market, jobs, freelance, wholesale, reviews, questions)","L",Frontend,open
ISS-013,Performance,Low,P2,Super Admin,All,"No pagination anywhere in admin; fixed limits only","src/app/[lang]/(dashboard)/admin/stores/page.tsx",30,"admin/stores loads all non-deleted stores with no limit; other pages rely on fixed .limit() caps (100-5000) with no UI to page beyond. Fine at 14 stores, breaks at scale.","Slow admin pages and truncated data as the platform grows","Admin cannot see beyond the cap","No pagination component","Add server-side pagination to admin list pages","M",Frontend,open
ISS-014,Admin,Low,P2,Super Admin,All,"Search missing on high-growth admin queues","src/app/[lang]/(dashboard)/admin/academy/page.tsx",1,"No search box on orders, taxonomy, market/reports, delivery, leaders, academy, reviews, verifications, deals, business-types, pages, audit. Leaders/academy/verifications/audit queues will grow unsearchable.","Admins cannot find records in growing queues","Manual scrolling to find items","Missing filter UI","Add search inputs to the listed admin pages, prioritizing verifications/audit/leaders/academy","M",Frontend,open
ISS-015,Data,Medium,P1,Super Admin,All,"All admin deletes are hard deletes","src/components/admin-market-client.tsx",161,"Listings, jobs/gigs/wholesale, reviews, messages, questions, leaders, academy, business_types, taxonomy, delivery, site_pages are hard-deleted via .delete(), guarded only by native window.confirm. Only stores use soft-delete.","Irreversible data loss; broken referential integrity for related records","No recovery from accidental deletion","Hard delete on related entities","Adopt soft-delete (deleted_at) for entities with relationships, matching the stores pattern","M",Backend,open
ISS-016,UX,Medium,P1,Merchant,All,"Order empty-state has no next-step CTA","src/app/[lang]/(dashboard)/merchant/[storeId]/orders/page.tsx",1,"With 0 orders the page shows a bare 'No orders for this store yet' dashed box with no guidance (share your link, add products, make a POS sale). The real DB has 0 orders so every merchant sees this.","Missed activation nudge at the exact moment a merchant needs direction","Merchant left without a next step","Informational-only empty state","Add action buttons to the empty state: share store link, add product, record a POS sale","S",Design,open
ISS-017,UX,Low,P2,Merchant,All,"Reports empty-state is sterile at zero","src/app/[lang]/(dashboard)/merchant/[storeId]/reports/page.tsx",1,"With 0 orders, KPIs show 0/$0, revenue columns render as flat stubs and each Bars panel shows noData. Functional but discouraging with no guidance.","Weak first impression of analytics value","Merchant sees empty charts","No zero-state guidance","Add an explanatory zero-state with a link to add products or share the store","S",Design,open
ISS-018,UX,Medium,P1,Merchant,All,"Product list at /items but edit at /products/[id]; products/page.tsx absent","src/app/[lang]/(dashboard)/merchant/[storeId]/items/page.tsx",1,"The catalog list lives at /items while single-product edit is at /products/[productId]; there is no /products list page. Confusing navigation model.","Developer and support confusion; inconsistent mental model","Merchant/URL confusion between list and edit","Route naming inconsistency","Unify under one segment (e.g. /products for list + /products/[id] for edit) or alias /items","M",Frontend,open
ISS-019,Performance,Low,P2,Merchant,All,"OS home issues 16 parallel queries per load","src/app/[lang]/(dashboard)/merchant/[storeId]/page.tsx",1,"The sector-adaptive home fires ~16 parallel queries (store_report RPC plus head-counts and lists) on every load. Harmless at demo scale, costly at volume.","Higher DB load and latency as usage grows","Slower dashboard on poor connections","Query fan-out per page view","Consolidate counts into a single RPC and cache where possible","M",Backend,open
ISS-020,Conversion,High,P1,Customer,Mobile,"No clear cash-on-delivery / no-payment messaging on product","src/app/[lang]/(site)/product",1,"There is no explicit 'pay on delivery, no card needed' line on the product/store page. The target Lebanese user distrusts online payment; the platform's biggest trust lever is unstated.","Lost conversions from trust-hesitant buyers","Buyer unsure how payment works","Messaging gap on key surface","Add a persistent 'Pay on delivery - no card needed' line on product and store pages","S",Content,open
ISS-021,Conversion,High,P1,Small Business Owner,Mobile,"merchant/new does not lead with free/no-card/WhatsApp value","src/app/[lang]/(dashboard)/merchant/new/page.tsx",1,"The store-creation entry does not clearly state 'free, no card, pay on delivery, share on WhatsApp' - the exact reassurances the WhatsApp-heavy low-tech target needs.","Weak activation of the core acquisition persona","Merchant hesitates to sign up","Value proposition not surfaced at entry","Add a concise value banner to merchant/new in plain Lebanese Arabic","S",Marketing,open
ISS-022,UX,Medium,P1,Merchant Staff,All,"Staff manager does not explain the 3-permission scope","src/components/staff-manager.tsx",1,"The staff UI exposes orders/products/bookings toggles but does not tell the owner that all other OS tools (CRM, accounting, POS) are available to any staff member regardless of these toggles.","Owner mis-assumes granular isolation and grants staff too much","Owner confusion about real access","Ties into ISS-002 RLS gap","Add helper text clarifying that the three toggles gate orders/products/bookings and other tools are open to all staff","S",Content,open
ISS-023,Product,Medium,P1,Enterprise,All,"Multi-branch shares inventory with no per-branch stock","supabase/migrations/0084_store_locations.sql",1,"Branches (0084/0085) share a single stock pool; no per-branch inventory, hours, or plan. A real multi-location business with separate warehouses will hit this wall, and the UI does not disclose it.","Blocks enterprise/multi-branch adoption; surprise limitation","Branch owner expects independent stock","Shared-stock architecture","Disclose 'stock is shared across branches' in the branches module; plan per-branch stock as a roadmap item","M",Product,open
ISS-024,i18n,Low,P2,Super Admin,All,"admin-leader-actions uses hardcoded Arabic strings","src/components/admin-leader-actions.tsx",77,"Confirm and error strings are hardcoded Arabic instead of the dictionary, breaking i18n and the English admin experience.","Inconsistent localization in admin","English admin sees Arabic prompts","Bypasses dict system","Move strings to dict.admin and reference them","S",Frontend,open
ISS-025,Trust,Medium,P1,Public-sector,Desktop,"No legal entity or merchant terms surfaced","src/components/site-footer.tsx",1,"Privacy exists at /privacy but there is no visible company/legal-entity info or merchant terms of service, and no public consumer-complaint channel (reports are admin-only).","Weakens legitimacy for regulators and cautious users","User cannot verify who operates the platform","Missing legal surfaces","Add legal entity details and merchant ToS to the footer; expose a public complaint path","M",Business,open
ISS-026,Strategy,Medium,P2,Investor,Desktop,"Public surfaces expose empty catalog with no traction framing","src/app/[lang]/(site)/explore",1,"With 14 stores, 24 products and 0 orders, explore/product pages look empty. No content or narrative fills the gap (the no-fabricated-data rule is correct, but leaves surfaces bare).","Poor first impression for investors and early users","Platform looks inactive","Cold-start content gap","Lead public pages with the Business OS wedge and evergreen content (guides/hub) rather than a thin catalog","M",Marketing,open
ISS-027,Competitive,Low,P2,Competitor,All,"Pro-locked modules advertise the roadmap to competitors","src/lib/sectors.ts",107,"A free store's sidebar renders ~13 Pro-locked modules by name, disclosing planned/premium capabilities to anyone who signs up.","Free reconnaissance for competitors","N/A","Nav renders locked future modules","Hide modules the store's plan/sector will never use rather than showing locks for everything","S",Product,open
ISS-028,Responsive,Medium,P1,Tablet,Tablet,"Sidebar switches at lg leaving a tablet gap","src/components/merchant-sidebar.tsx",1,"The merchant sidebar is lg:flex-row (drawer below lg). Tablet (768-1024) falls between the mobile drawer and desktop rail, risking an awkward layout, while header controls appear at md.","Degraded tablet experience for a common device","Tablet users get an in-between layout","Breakpoint mismatch (md header vs lg sidebar)","Test and tune tablet breakpoints; align header and sidebar thresholds","M",Frontend,open
ISS-029,Responsive,Low,P2,Merchant,Mobile,"25-item sidebar becomes a long drawer on mobile","src/components/merchant-sidebar.tsx",1,"On mobile the full module list renders in an RTL drawer, producing a long scroll that amplifies the dashboard-bloat problem on the smallest screen.","Compounds churn risk on mobile-first target","Long scroll to reach a module","Ties into ISS-004","Apply the Lite mode / grouping on mobile so the drawer stays short","M",Frontend,open
ISS-030,UX,Low,P2,Merchant,All,"Staff delete reuses products.confirmDelete copy","src/components/staff-manager.tsx",1,"The staff removal confirm dialog reuses products.confirmDelete text, so the message does not match the action.","Minor confusion in a destructive dialog","Wrong wording on staff removal","String reuse","Add a dedicated staff.confirmRemove dictionary key","S",Content,open
ISS-031,Data,Low,P2,Merchant,All,"Unmapped business-type slug silently filed under shopping","src/app/[lang]/(dashboard)/merchant/new/page.tsx",1,"The business-type to group mapping uses a silent '?? shopping' fallback, so an unmapped sector slug is quietly categorized as Shopping instead of surfacing an error.","Miscategorized stores skew discovery and analytics","Store lands in the wrong top-level group","Silent fallback hides config gaps","Log or surface unmapped slugs instead of defaulting silently","S",Backend,open
ISS-032,Admin,Low,P2,Super Admin,Desktop,"Exchange-rate save has no confirmation","src/components/admin-settings-form.tsx",47,"Saving the USD to LBP rate is one-click with no confirm, yet it affects pricing across the entire platform.","A wrong rate mispricing every product platform-wide","All users see wrong prices","No guard on a global-impact setting","Add a confirmation showing old vs new rate before saving","S",Design,open
ISS-033,Security,Low,P2,Customer,All,"No verified check that PII stays out of URLs","src/app/[lang]/(site)/search",1,"Search and listing params should be verified to never carry personal data in query strings; not confirmed by reading.","Potential PII leakage in logs/referrers","Privacy exposure","Needs verification","Audit query params on search/orders/track to ensure no PII is placed in URLs","S",Security,open
ISS-034,Onboarding,Medium,P1,Merchant,All,"Onboarding guidance exists only on OS home, absent on sub-pages","src/app/[lang]/(dashboard)/merchant/[storeId]/page.tsx",1,"The strong checklist and rule-based suggestions live only on the OS home. When a merchant clicks a sidebar module they land on a bare empty state with no next step.","Drop-off after leaving the home page","Merchant loses guidance mid-flow","Guidance not propagated to sub-pages","Add contextual next-step hints to key sub-page empty states (orders, customers, reports)","M",Product,open
