sector,module,required,optional,display_order,customer_visible,merchant_editable,admin_configurable,dependency,notes
realEstate,team,no,yes,6,sector-only,yes,no,,RECOMMENDED ADD: agents have no home on the profile today. Not in the bundle at sectors.ts:237 today. DESCRIBED: gated by sectorHasTeam (sectors.ts:438) which reads the SECTOR default and ignores the store_modules override - a bug
realEstate,reviews,no,yes,7,ungated,no,no,,In sector default bundle at sectors.ts:237; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: StoreReviews renders on store.isReal alone (page.tsx:714); the module flag is never read; 5 rows across 11 stores
realEstate,verifications,no,no,0,no,yes,yes,,Not in this sector's bundle (sectors.ts:237); nothing renders. DESCRIBED: gates StoreVerifications at page.tsx:706; the only module with an admin review queue
realEstate,location,no,yes,3,yes,yes,no,,In sector default bundle at sectors.ts:237; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: gates the map at page.tsx:584; only 3 of 11 active stores carry coordinates
realEstate,marketing,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:237); nothing renders. DESCRIBED: zero readers; no public offers surface exists
realEstate,messaging,no,yes,0,ungated,yes,no,,In sector default bundle at sectors.ts:237; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: MessageStoreButton renders on store.isReal (store-header.tsx:181); module flag never read
realEstate,media,no,yes,4,no,partial,no,,In sector default bundle at sectors.ts:237; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: zero readers anywhere in src/; no store-level gallery table exists
automotive,catalog,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:250); nothing renders. DESCRIBED: declared at modules-catalog.ts:60 but zero readers in src/; the product grid renders regardless
automotive,menu,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:250); nothing renders. DESCRIBED: zero readers; the menu heading comes from a slug switch at page.tsx:499-504 not from this module
automotive,orders,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:250); nothing renders. DESCRIBED: cart comes from experience.canOrderProducts which store-experience.ts:183 sets to a flat true; module flag never read
automotive,inventory,no,no,0,no,yes,no,catalog,Not in this sector's bundle (sectors.ts:250); nothing renders. DESCRIBED: no public surface; merchant route /merchant/[id]/inventory exists
automotive,delivery,no,no,0,no,yes,no,orders,Not in this sector's bundle (sectors.ts:250); nothing renders. DESCRIBED: store-delivery-options renders on couriers rows (page.tsx:580) and zones fetch at page.tsx:398 with no module check
automotive,pos,no,no,0,no,yes,no,catalog,Not in this sector's bundle (sectors.ts:250); nothing renders. DESCRIBED: in-store only; correctly has no public surface
automotive,appointments,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:250); nothing renders. DESCRIBED: read by store-experience.ts:117 to pick the appointment surface
automotive,timeslot,dependency,no,4,yes,yes,no,,NOT declared at sectors.ts:250 but pulled into the resolved set by withDependencies via . DESCRIBED: gates the store_resources fetch at page.tsx:216
automotive,classes,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:250); nothing renders. DESCRIBED: gates the store_classes fetch at page.tsx:236; store_classes holds 1 row in production
automotive,reservations,no,no,0,no,partial,no,,Not in this sector's bundle (sectors.ts:250); nothing renders. DESCRIBED: gates ReservationForm at page.tsx:661; no table/party-size model behind it
automotive,memberships,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:250); nothing renders. DESCRIBED: gates the plans fetch at page.tsx:226; store_memberships holds 0 rows in production
automotive,rentals,no,yes,4,no,no,no,timeslot,In sector default bundle at sectors.ts:250; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: zero readers anywhere in src/; pulls timeslot in via withDependencies
automotive,requests,no,yes,4,yes,yes,no,,In sector default bundle at sectors.ts:250; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: read by store-experience.ts:118 to show the service-request form
automotive,listings,yes,no,2,no,partial,no,,Primary engine for this sector. In bundle at sectors.ts:250. DESCRIBED: zero readers; listings render through the generic catalog surface
automotive,portfolio,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:250); nothing renders. DESCRIBED: gates the fetch at page.tsx:247; store_portfolio holds 0 rows in production despite a complete merchant UI
automotive,courses,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:250); nothing renders. DESCRIBED: gates the fetch at page.tsx:257
automotive,team,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:250); nothing renders. DESCRIBED: gated by sectorHasTeam (sectors.ts:438) which reads the SECTOR default and ignores the store_modules override - a bug
automotive,reviews,no,yes,6,ungated,no,no,,In sector default bundle at sectors.ts:250; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: StoreReviews renders on store.isReal alone (page.tsx:714); the module flag is never read; 5 rows across 11 stores
automotive,verifications,no,no,0,no,yes,yes,,Not in this sector's bundle (sectors.ts:250); nothing renders. DESCRIBED: gates StoreVerifications at page.tsx:706; the only module with an admin review queue
automotive,location,no,yes,7,yes,yes,no,,In sector default bundle at sectors.ts:250; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: gates the map at page.tsx:584; only 3 of 11 active stores carry coordinates
automotive,marketing,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:250); nothing renders. DESCRIBED: zero readers; no public offers surface exists
automotive,messaging,no,yes,0,ungated,yes,no,,In sector default bundle at sectors.ts:250; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: MessageStoreButton renders on store.isReal (store-header.tsx:181); module flag never read
automotive,media,no,yes,3,no,partial,no,,In sector default bundle at sectors.ts:250; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: zero readers anywhere in src/; no store-level gallery table exists
beauty,catalog,no,yes,0,no,yes,no,,In sector default bundle at sectors.ts:266; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: declared at modules-catalog.ts:60 but zero readers in src/; the product grid renders regardless
beauty,menu,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:266); nothing renders. DESCRIBED: zero readers; the menu heading comes from a slug switch at page.tsx:499-504 not from this module
beauty,orders,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:266); nothing renders. DESCRIBED: cart comes from experience.canOrderProducts which store-experience.ts:183 sets to a flat true; module flag never read
beauty,inventory,no,no,0,no,yes,no,catalog,Not in this sector's bundle (sectors.ts:266); nothing renders. DESCRIBED: no public surface; merchant route /merchant/[id]/inventory exists
beauty,delivery,no,no,0,no,yes,no,orders,Not in this sector's bundle (sectors.ts:266); nothing renders. DESCRIBED: store-delivery-options renders on couriers rows (page.tsx:580) and zones fetch at page.tsx:398 with no module check
beauty,pos,no,no,0,no,yes,no,catalog,Not in this sector's bundle (sectors.ts:266); nothing renders. DESCRIBED: in-store only; correctly has no public surface
beauty,appointments,yes,no,5,yes,yes,no,,Primary engine for this sector. In bundle at sectors.ts:266. DESCRIBED: read by store-experience.ts:117 to pick the appointment surface
beauty,timeslot,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:266); nothing renders. DESCRIBED: gates the store_resources fetch at page.tsx:216
beauty,classes,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:266); nothing renders. DESCRIBED: gates the store_classes fetch at page.tsx:236; store_classes holds 1 row in production
beauty,reservations,no,no,0,no,partial,no,,Not in this sector's bundle (sectors.ts:266); nothing renders. DESCRIBED: gates ReservationForm at page.tsx:661; no table/party-size model behind it
beauty,memberships,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:266); nothing renders. DESCRIBED: gates the plans fetch at page.tsx:226; store_memberships holds 0 rows in production
beauty,rentals,no,no,0,no,no,no,timeslot,Not in this sector's bundle (sectors.ts:266); nothing renders. DESCRIBED: zero readers anywhere in src/; pulls timeslot in via withDependencies
beauty,requests,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:266); nothing renders. DESCRIBED: read by store-experience.ts:118 to show the service-request form
beauty,listings,no,no,0,no,partial,no,,Not in this sector's bundle (sectors.ts:266); nothing renders. DESCRIBED: zero readers; listings render through the generic catalog surface
beauty,portfolio,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:266); nothing renders. DESCRIBED: gates the fetch at page.tsx:247; store_portfolio holds 0 rows in production despite a complete merchant UI
beauty,courses,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:266); nothing renders. DESCRIBED: gates the fetch at page.tsx:257
beauty,team,no,yes,2,sector-only,yes,no,,In sector default bundle at sectors.ts:266; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: gated by sectorHasTeam (sectors.ts:438) which reads the SECTOR default and ignores the store_modules override - a bug
beauty,reviews,no,yes,6,ungated,no,no,,In sector default bundle at sectors.ts:266; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: StoreReviews renders on store.isReal alone (page.tsx:714); the module flag is never read; 5 rows across 11 stores
beauty,verifications,no,no,0,no,yes,yes,,Not in this sector's bundle (sectors.ts:266); nothing renders. DESCRIBED: gates StoreVerifications at page.tsx:706; the only module with an admin review queue
