id,phase,title,description,sector_scope,depends_on,effort,impact,risk,unlocks_sectors,notes,status
B-13,1-trust,Disclose and defer the checkout phone capture,"Move record_checkout_intent from the phone field's blur to a deliberate forward step, and add one line of copy under the field stating the shop may follow up.",all,B-12,S,high,low,none,"MP-007. The engineering around 0120 is careful and fail-safe; the consent model is the gap. Fixing this before B-12 ships means the policy can describe a defensible behaviour rather than the current one.",done
B-14,1-trust,Fix the class capacity race,"Move class booking into a SECURITY DEFINER RPC that counts and inserts in one statement. There is currently no database constraint on class capacity, only a client-side re-check before a raw insert.",fitness,B-05,S,high,low,fitness,"MP-067. Booking slots are correctly guarded by unique indexes and GiST exclusion constraints; classes are the one flow that was left on the honour system. Must be closed before any gym is onboarded.",done
B-15,1-trust,Bound the six unbounded queries,"Add limits and pagination to the store product read, the variant probe, bundle_items, getMyListings, markFavorites and store_locations. Add a static test asserting every .select() on a growth table carries a .limit() or .range().",all,,S,medium,low,none,"MP-039, MP-040, MP-041, MP-070. None of these can trigger at 11 stores and 65 products — which is exactly why to do them now. The variant probe fails as a WRONG VARIANT, not a slow page, so it is a correctness item wearing a performance costume.",done
B-16,1-trust,Fix the two safe-area regressions on the merchant shell,"Add pt-[env(safe-area-inset-top)] to the dashboard header and derive the merchant module strip's sticky offset from the header height plus the inset instead of a hardcoded top-16.",all,B-17,XS,medium,low,none,"MP-032, MP-033. Invisible inside the iOS binary (contentInset:always) but real in the installed PWA and on Android, which is the larger share of the Lebanese market. This is the merchant's side — the side opened twenty times a day.",done
B-17,2-system,Correct and adopt the five --m-* mobile tokens,"--m-header-h is set to 3.5rem while both real headers are h-16 (4rem). Correct it, then replace the hardcoded literals in bottom-nav, merchant-tab-bar, product-buy-bar, order-sticky-actions, merchant-sidebar and both layout spacers.",all,,S,medium,low,none,"MP-060. The tokens are used in zero components AND one carries a false value, which is the worst combination — the next person to adopt them produces a layout bug and blames themselves. Do this before B-16 so the fix has something correct to reference.",done
B-18,2-system,Consolidate money formatting,"Delete the 23 local formatPrice copies, export formatMoney(n,{decimals}) from currency.ts for the invoice and POS cases, and apply .text-money at every money render site in the same pass.",all,,M,medium,low,none,"MP-055, MP-061. One mechanical pass that closes a consistency issue, an RTL bidi-isolation issue and a correctness issue (the same total renders as $45.00 on /activity and $45 on /orders) together.",done
B-19,2-system,Add the missing primitive variants and extract the three missing primitives,"Add accent (done in B-09) and whatsapp variants to Badge and Button; move ui/button's danger and ui/field's error states onto the --danger tokens; extract ChipRail, SegmentedControl, Switch and a direction-aware Chevron from their existing hand-rolled implementations.",all,B-09,M,medium,low,none,"MP-027, MP-051, MP-062, MP-066. Every consistency and accessibility defect in this audit traces to a caller leaving the system because the system lacked one variant. Add the variants before pushing adoption.",open
B-20,2-system,Fix the 64 orphaned form labels,"Make htmlFor a required prop on Field, then convert classes-manager, courses-manager, coupon-manager, craft-services-manager, booking-panel and craft-review-form.",all,,M,high,low,none,"MP-046. 64 controls currently have no accessible name at all. Making the prop required means TypeScript prevents recurrence, which matters more than the one-time fix.",open
B-21,2-system,Ban raw palette colours with a lint rule,"196 raw Tailwind palette classes across 42 files, including inside the ui/ primitives. Allow-list invoice-generator (a printed document on white paper) and the sector tints until B-22.",all,B-19,S,medium,low,none,"MP-064. Same shape as B-06 and for the same reason: the convention already exists, only enforcement makes it real.",done
B-22,2-system,Tokenise the 17 sector tints,"Replace the hand-picked heroTint and iconTint gradients in sectors.ts with one token pair per sector defined in globals.css.",all,B-21,S,low,low,none,"MP-065. Also removes the largest single source of gradient usage, which is most of what makes the ""excessive gradients"" charge partly true.",done
B-23,2-system,Remove the gradient text from the home hero,"bg-clip-text text-transparent on the headline is the most recognisable generic-AI-design tell, sits on the first screen of the marketplace, is applied to Arabic display type, and cannot be contrast-checked.",all,,XS,medium,low,none,MP-063. One line.,done
B-24,2-system,Add the two missing transaction detail routes,"/bookings/[id] and /crafts/requests/[id], then point the activity cards at them instead of at list pages.",all,B-08,M,medium,low,"healthcare,beauty,services,contractors","MP-023. The whole argument for the activity centre was one-tap answers to ""where is my thing?"" — three of four kinds still cost a second hunt, and that is a missing route, not a design flaw.",done
B-25,3-store-launch,Gate the native push permission request until the FCM sender exists,"native-bridge.tsx currently asks for notification permission and stores a device token that nothing reads. On iOS that prompt is offered once.",all,,XS,high,low,none,"MP-028. One line, today. Asking for a permission you cannot honour closes the channel for when it works. Either this or build the sender — do not ship the binary with neither.",done
B-26,3-store-launch,Host the two deep-link verification files,"public/.well-known/assetlinks.json with the Android signing SHA-256, and apple-app-site-association with the Apple team id. The Android manifest already declares autoVerify and the appUrlOpen handler is already wired.",all,,S,high,low,none,"MP-030. Blocked on values only the owner has (signing fingerprint, team id). Without these, every share link, push payload and merchant WhatsApp link opens the browser instead of the app — which is the one behaviour that makes an app feel installed.",open
B-27,3-store-launch,Generate the real icon set,"One 512x512 asset currently serves the 192, 512 and maskable declarations, and apple-icon.png is a byte-identical copy. Generate from a 1024 master with @capacitor/assets, including correct maskable safe-zone padding.",all,,S,medium,low,none,"MP-031. Carried from M-010 (partial) in the prior audit. A design task, and the first thing both a store reviewer and a user see.",done
B-28,3-store-launch,Gate PushOptIn on the native platform,"Inside the iOS binary the component currently shows ""push not supported"" seconds after the app natively asked for push; inside the Android binary a user can register both channels and would receive every notification twice once B-25's sender exists.",all,B-25,XS,medium,low,none,MP-029. src/lib/native.ts:6 already exposes the check.,done
B-29,3-store-launch,Unify the offline presentation and version the SW cache,"Make native-shell/index.html match offline.html (or strip its messaging), and derive the service worker cache name from the build id so a deploy actually retires the previous cache.",all,,S,low,low,none,"MP-034, MP-035. Not urgent at 11 stores; group with the store-launch pass because both are about what a user sees when the app misbehaves.",open
B-30,3-store-launch,Add appleWebApp metadata,"apple-mobile-web-app-status-bar-style and title, so the installed PWA's notch area carries the brand rather than the browser default.",all,,XS,low,low,none,MP-036. One metadata block.,done
B-31,3-store-launch,Wire the bundle analyser,"@next/bundle-analyzer into next.config.ts. No per-route First Load JS number currently exists, which is why M-017 was deferred and why no bundle claim in this audit is a number.",all,,S,medium,low,none,"MP-042. Do this BEFORE B-32, not after — the win must be shown, not asserted. This also settles whether Turbopack tree-shakes the unrendered client components, which is the one assumption that could change B-32's conclusion.",done
B-32,4-scale-gated,Lazy-load the sector transaction components on /store/[id],"Swap nine static imports for next/dynamic keyed on the sector the page has already resolved. No component is restructured, no state moves, the order-submit path is untouched.",all,B-31,M,medium,low,none,"MP-038. Roughly 5029 lines of client TSX are reachable from one route today. Deliberately placed after B-31: this is the change the prior audit was right to defer for lack of measurement, and it stays deferred until the number is visible. It is also genuinely low-priority at 11 stores and low traffic — it becomes urgent when traffic does.",done
B-33,4-scale-gated,Consolidate /favorites and /wishlist into one saved screen,"Two segments (stores, products), with /wishlist redirecting the way /following already does at following/page.tsx:15.",all,,M,medium,low,none,"MP-024. Real but not urgent: with 65 products platform-wide, few customers have saved anything. Worth doing when the catalogue makes saving meaningful.",done
B-34,4-scale-gated,Gate empty sections out of primary navigation,"Extend the src/lib/rail.ts rule (hide a rail with fewer than three real items) to route level in the header and footer, so crafts, freelance, jobs and wholesale stay reachable by URL and search but are not advertised until they can return three real results.",all,,M,medium,medium,none,"MP-026. 65 customer routes against 11 stores and 65 products. This is a product decision as much as an engineering one — it trades the appearance of breadth for the experience of not hitting dead ends. Recommend it, do not do it unilaterally.",open
B-35,4-scale-gated,Reduce the card density,"Convert the highest-traffic lists (activity, orders, inventory, CRM) from N individually carded rows to one card with hairline-separated rows, then migrate the 339 hand-rolled card strings to ui/card.",all,B-17,L,medium,medium,none,"MP-059. The largest single visual change available and the one that most reduces the generated-interface feel. Large and diffuse, so it should follow the token work rather than lead it — and it wants a real device to judge.",open
B-36,4-scale-gated,Rename the doctors module per sector,"A per-sector label and icon override so a salon's staff roster is not labelled and iconified as doctors. The key itself stays; only the presentation changes.",beauty,,S,low,low,"beauty,fitness,education,petCare,professional","MP-037. Cheap, and it is the kind of detail that tells a merchant the software was built for someone else. Worth doing before onboarding the first salon or gym.",open
B-37,4-scale-gated,Replace the cover-position slider,"Three labelled buttons (top / centre / bottom) instead of a horizontal input type=range driving a vertical crop, which reverses under dir=rtl.",all,,XS,low,low,none,MP-054. The only type=range in the codebase so the fix is contained.,open
B-38,4-scale-gated,Add three Playwright flows and axe in CI,"Place an order as a guest, place a booking, sign in and open /activity — plus axe on /, /explore and /store/[id]. Not a full suite: the three paths where a regression means lost money.",all,B-05,M,high,medium,none,"MP-069. Deliberately after the RLS tests: policy tests are cheaper, catch more, and do not need a browser. Note that E2E on a live 11-store platform needs a seeded staging project first, which is itself unscoped work.",open
B-39,4-scale-gated,Decide the home page DOM order,"The mobile sequence is produced with CSS order, so a screen reader on a phone reads the desktop sequence — a WCAG 1.3.2 meaningful-sequence failure with no ARIA remedy. Recommend adopting the mobile sequence in the DOM for both breakpoints and using lg: only for layout.",all,,S,medium,medium,none,"MP-052. Effort is small; risk is that it changes desktop, which the prior audit's constraint forbade. This is a product owner's call, not a designer's. If rejected, record the failure in an accessibility statement rather than a code comment.",done
B-40,4-scale-gated,Content: store coordinates and sector-appropriate filters,"8 of 11 active stores still have no map pin, which blocks the nearby home block. Explore filters are one set for all sectors, so a restaurant can be filtered by room count.",all,,M,medium,low,"realEstate,automotive,hospitality","M-020 from the prior audit, still open, plus the filter work from its doc 07. The first half is a content task for the owner, not code — building the nearby UI first would ship a convincing-looking empty screen.",open
