sector,field,weight,required_for_publish,customer_visible,coaching_message_key,exists_today,notes
automotive,lead_contact,4,no,no,merchant.coach.leadContact,no,leads module exists but no per-store routing declaration
beauty,logo,10,yes,yes,merchant.coach.logo,yes,stores.logo_url; on checklist
beauty,cover,8,no,yes,merchant.coach.cover,yes,stores.cover_url; on checklist
beauty,description,10,yes,yes,merchant.coach.description,yes,stores.description; on checklist
beauty,brand_color,2,no,yes,merchant.coach.brandColor,yes,stores.accent_color
beauty,custom_link,4,no,yes,merchant.coach.customLink,yes,stores.slug
beauty,hours,8,yes,yes,merchant.coach.hours,yes,stores.hours; drives the booking grid
beauty,whatsapp,8,yes,yes,merchant.coach.whatsapp,yes,stores.whatsapp
beauty,phone,4,no,yes,merchant.coach.phone,partial,stores.phone
beauty,region_area,4,yes,yes,merchant.coach.area,partial,stores.region + stores.area
beauty,map_pin,8,yes,yes,merchant.coach.mapPin,partial,stores.lat/lng; salons are walk-in businesses
beauty,services_offered,16,yes,yes,merchant.coach.servicesOffered,partial,bookable services; generic 'add 3 products' step today
beauty,practitioners,10,no,yes,merchant.coach.practitioners,partial,"doctors table + /doctors page; sectorHasTeam(beauty)=true; never nudged"
beauty,booking_slot_minutes,8,yes,no,merchant.coach.slotLength,partial,"stores.booking_slot_minutes set in /edit; without it the booking grid has no granularity"
fitness,logo,10,yes,yes,merchant.coach.logo,yes,stores.logo_url; on checklist
fitness,cover,8,no,yes,merchant.coach.cover,yes,stores.cover_url; on checklist
fitness,description,10,yes,yes,merchant.coach.description,yes,stores.description; on checklist
fitness,brand_color,2,no,yes,merchant.coach.brandColor,yes,stores.accent_color
fitness,custom_link,4,no,yes,merchant.coach.customLink,yes,stores.slug
fitness,hours,8,yes,yes,merchant.coach.hours,yes,stores.hours; gym opening hours
fitness,whatsapp,8,yes,yes,merchant.coach.whatsapp,yes,stores.whatsapp
fitness,phone,4,no,yes,merchant.coach.phone,partial,stores.phone
fitness,region_area,4,yes,yes,merchant.coach.area,partial,stores.region + stores.area
fitness,map_pin,8,yes,yes,merchant.coach.mapPin,partial,stores.lat/lng; people join the gym near them
fitness,membership_plans,12,yes,yes,merchant.coach.membershipPlans,partial,"store_membership_plans (2 rows) + /memberships page; ownerOnly module; never nudged"
fitness,classes,12,no,yes,merchant.coach.classes,partial,store_classes (1 row) + /classes page; never nudged
fitness,practitioners,6,no,yes,merchant.coach.practitioners,partial,doctors table reused as trainers; sectorHasTeam(fitness)=true
fitness,booking_slot_minutes,4,no,no,merchant.coach.slotLength,partial,stores.booking_slot_minutes
sportsCourts,logo,10,yes,yes,merchant.coach.logo,yes,stores.logo_url; on checklist
sportsCourts,cover,8,no,yes,merchant.coach.cover,yes,stores.cover_url; on checklist
sportsCourts,description,10,no,yes,merchant.coach.description,yes,stores.description; on checklist
sportsCourts,brand_color,2,no,yes,merchant.coach.brandColor,yes,stores.accent_color
sportsCourts,custom_link,4,no,yes,merchant.coach.customLink,yes,stores.slug
sportsCourts,hours,8,yes,yes,merchant.coach.hours,yes,"stores.hours; a court with no hours cannot generate bookable slots"
sportsCourts,whatsapp,8,yes,yes,merchant.coach.whatsapp,yes,stores.whatsapp
sportsCourts,phone,4,no,yes,merchant.coach.phone,partial,stores.phone
sportsCourts,region_area,4,yes,yes,merchant.coach.area,partial,stores.region + stores.area
sportsCourts,map_pin,8,yes,yes,merchant.coach.mapPin,partial,stores.lat/lng; you drive to a court
sportsCourts,resources_courts,20,yes,yes,merchant.coach.resources,partial,"store_resources (2 rows) + /resources page (0128); the sector cannot transact without at least one court"
sportsCourts,booking_slot_minutes,10,yes,no,merchant.coach.slotLength,partial,stores.booking_slot_minutes; slot length is the whole product here
sportsCourts,cancel_window,4,no,yes,merchant.coach.cancelWindow,partial,stores.booking_cancel_hours (0189); set in /settings; never nudged
education,logo,10,yes,yes,merchant.coach.logo,yes,stores.logo_url; on checklist
education,cover,8,no,yes,merchant.coach.cover,yes,stores.cover_url; on checklist
education,description,10,yes,yes,merchant.coach.description,yes,stores.description; on checklist
education,brand_color,2,no,yes,merchant.coach.brandColor,yes,stores.accent_color
education,custom_link,4,no,yes,merchant.coach.customLink,yes,stores.slug
education,hours,8,no,yes,merchant.coach.hours,yes,stores.hours; office hours rather than class times
education,whatsapp,8,yes,yes,merchant.coach.whatsapp,yes,stores.whatsapp
education,phone,4,yes,yes,merchant.coach.phone,partial,stores.phone; parents call
education,region_area,4,yes,yes,merchant.coach.area,partial,stores.region + stores.area
education,map_pin,8,yes,yes,merchant.coach.mapPin,partial,stores.lat/lng
education,courses,18,yes,yes,merchant.coach.courses,partial,"store_courses (2 rows) + /courses page (0134); never nudged"
education,tutors,10,no,yes,merchant.coach.practitioners,partial,doctors table reused as tutors; sectorHasTeam(education)=true
education,membership_plans,6,no,yes,merchant.coach.membershipPlans,partial,store_membership_plans; term enrolment
events,logo,10,yes,yes,merchant.coach.logo,yes,stores.logo_url; on checklist
events,cover,8,yes,yes,merchant.coach.cover,yes,"stores.cover_url; publish-blocking here - the cover IS the event poster"
events,description,10,yes,yes,merchant.coach.description,yes,stores.description; on checklist
events,brand_color,2,no,yes,merchant.coach.brandColor,yes,stores.accent_color
events,custom_link,4,no,yes,merchant.coach.customLink,yes,stores.slug
events,hours,8,no,yes,merchant.coach.hours,yes,stores.hours; venue hours where a fixed venue exists
events,whatsapp,8,yes,yes,merchant.coach.whatsapp,yes,stores.whatsapp
events,phone,4,no,yes,merchant.coach.phone,partial,stores.phone
events,region_area,4,yes,yes,merchant.coach.area,partial,stores.region + stores.area
events,map_pin,8,yes,yes,merchant.coach.mapPin,partial,stores.lat/lng; attendees must find the venue
events,ticket_types,24,yes,yes,merchant.coach.ticketTypes,yes,"event_ticket_types (0 rows) via sectorPrimarySetup(); one of only two sectors with a tailored checklist step"
events,media_gallery,10,no,yes,merchant.coach.media,partial,"media is a default feature module; no gallery-coverage check exists"
hospitality,logo,10,yes,yes,merchant.coach.logo,yes,stores.logo_url; on checklist
hospitality,cover,8,yes,yes,merchant.coach.cover,yes,stores.cover_url; publish-blocking - nobody books an unphotographed stay
hospitality,description,10,yes,yes,merchant.coach.description,yes,stores.description; on checklist
hospitality,brand_color,2,no,yes,merchant.coach.brandColor,yes,stores.accent_color
hospitality,custom_link,4,no,yes,merchant.coach.customLink,yes,stores.slug
hospitality,hours,8,no,yes,merchant.coach.hours,yes,stores.hours; reception hours - check-in windows are a separate concept
hospitality,whatsapp,8,yes,yes,merchant.coach.whatsapp,yes,stores.whatsapp
hospitality,phone,4,yes,yes,merchant.coach.phone,partial,stores.phone
hospitality,region_area,4,yes,yes,merchant.coach.area,partial,stores.region + stores.area
hospitality,map_pin,8,yes,yes,merchant.coach.mapPin,partial,"stores.lat/lng; publish-blocking - a chalet with no location is unbookable"
hospitality,accommodation_units,24,yes,yes,merchant.coach.units,yes,"accommodation_units (4 rows) via sectorPrimarySetup() (0191); the other tailored checklist step"
hospitality,unit_photos,10,yes,yes,merchant.coach.unitPhotos,partial,no photo-coverage check on accommodation_units
pharmacy,logo,10,yes,yes,merchant.coach.logo,yes,stores.logo_url; on checklist
pharmacy,cover,8,no,yes,merchant.coach.cover,yes,stores.cover_url; on checklist
pharmacy,description,10,no,yes,merchant.coach.description,yes,stores.description; on checklist
pharmacy,brand_color,2,no,yes,merchant.coach.brandColor,yes,stores.accent_color
pharmacy,custom_link,4,no,yes,merchant.coach.customLink,yes,stores.slug
pharmacy,hours,8,yes,yes,merchant.coach.hours,yes,"stores.hours; publish-blocking - 'is the pharmacy open' is the whole question"
pharmacy,whatsapp,8,yes,yes,merchant.coach.whatsapp,yes,stores.whatsapp
pharmacy,phone,4,yes,yes,merchant.coach.phone,partial,stores.phone
pharmacy,region_area,4,yes,yes,merchant.coach.area,partial,stores.region + stores.area
pharmacy,map_pin,8,yes,yes,merchant.coach.mapPin,partial,stores.lat/lng; nearest-pharmacy is the primary use case
pharmacy,products,18,yes,yes,merchant.coach.products,yes,products table; generic checklist step fits this sector
pharmacy,license_verification,10,yes,yes,merchant.coach.licence,partial,"store_verifications (0 rows). Publish-blocking on policy grounds; scoring must wait until the self-verification hole is closed - see 12_REVIEWS_TRUST.md SS4"
pharmacy,delivery_or_pickup,6,no,yes,merchant.coach.fulfilment,partial,stores.accepts_delivery / accepts_pickup; never nudged
petCare,logo,10,yes,yes,merchant.coach.logo,yes,stores.logo_url; on checklist
petCare,cover,8,no,yes,merchant.coach.cover,yes,stores.cover_url; on checklist
petCare,description,10,yes,yes,merchant.coach.description,yes,stores.description; on checklist
petCare,brand_color,2,no,yes,merchant.coach.brandColor,yes,stores.accent_color
petCare,custom_link,4,no,yes,merchant.coach.customLink,yes,stores.slug
petCare,hours,8,yes,yes,merchant.coach.hours,yes,stores.hours
petCare,whatsapp,8,yes,yes,merchant.coach.whatsapp,yes,stores.whatsapp
petCare,phone,4,yes,yes,merchant.coach.phone,partial,stores.phone; emergencies arrive by phone
petCare,region_area,4,yes,yes,merchant.coach.area,partial,stores.region + stores.area
petCare,map_pin,8,yes,yes,merchant.coach.mapPin,partial,stores.lat/lng
petCare,services_offered,18,yes,yes,merchant.coach.servicesOffered,partial,bookable services; generic 'add 3 products' step today
petCare,practitioners,10,no,yes,merchant.coach.practitioners,partial,doctors table reused as vets/groomers; sectorHasTeam(petCare)=true
petCare,booking_slot_minutes,6,no,no,merchant.coach.slotLength,partial,stores.booking_slot_minutes
professional,logo,10,yes,yes,merchant.coach.logo,yes,stores.logo_url; on checklist
professional,cover,8,no,yes,merchant.coach.cover,yes,stores.cover_url; on checklist
professional,description,10,yes,yes,merchant.coach.description,yes,"stores.description; heavily weighted - a lawyer sells credibility in prose"
professional,brand_color,2,no,yes,merchant.coach.brandColor,yes,stores.accent_color
professional,custom_link,4,no,yes,merchant.coach.customLink,yes,stores.slug
professional,hours,8,no,yes,merchant.coach.hours,yes,stores.hours; office hours
professional,whatsapp,8,yes,yes,merchant.coach.whatsapp,yes,stores.whatsapp
professional,phone,4,yes,yes,merchant.coach.phone,partial,stores.phone; publish-blocking - the enquiry channel
professional,region_area,4,yes,yes,merchant.coach.area,partial,stores.region + stores.area
professional,map_pin,8,no,yes,merchant.coach.mapPin,partial,"stores.lat/lng; not required - many professionals work without a client-facing office"
professional,services_offered,18,yes,yes,merchant.coach.servicesOffered,partial,products with simplifiedItem=true; generic 'add 3 products' step today
professional,credential_verification,10,no,yes,merchant.coach.credential,partial,"store_verifications (0 rows); bar/syndicate membership. Not publish-blocking, but the highest-value trust field in this sector once the badge is safe"
professional,booking_slot_minutes,6,no,no,merchant.coach.slotLength,partial,stores.booking_slot_minutes; consultation length
contractors,logo,10,yes,yes,merchant.coach.logo,yes,stores.logo_url; on checklist
contractors,cover,8,no,yes,merchant.coach.cover,yes,stores.cover_url; on checklist
contractors,description,10,yes,yes,merchant.coach.description,yes,stores.description; on checklist
contractors,brand_color,2,no,yes,merchant.coach.brandColor,yes,stores.accent_color
contractors,custom_link,4,no,yes,merchant.coach.customLink,yes,stores.slug
contractors,hours,8,no,yes,merchant.coach.hours,yes,stores.hours; not publish-blocking - trades work to job hours
contractors,whatsapp,8,yes,yes,merchant.coach.whatsapp,yes,"stores.whatsapp; publish-blocking - this trade runs on WhatsApp and phone calls"
contractors,phone,4,yes,yes,merchant.coach.phone,partial,stores.phone; publish-blocking
contractors,region_area,4,yes,yes,merchant.coach.area,partial,stores.region + stores.area
contractors,map_pin,8,no,yes,merchant.coach.mapPin,partial,stores.lat/lng; a contractor travels - pin is optional
contractors,portfolio_items,14,yes,yes,merchant.coach.portfolio,partial,"store_portfolio (0 rows) + /portfolio page (0133); photos of finished work are how a trade is judged"
contractors,services_offered,12,yes,yes,merchant.coach.servicesOffered,partial,products with simplifiedItem=true; generic 'add 3 products' step today
contractors,service_area,8,yes,yes,merchant.coach.serviceArea,no,"NEW WORK. Service areas exist only for craft_providers (craft_provider_areas / lb_areas 0235-0236); stores has no equivalent"
farm,logo,10,yes,yes,merchant.coach.logo,yes,stores.logo_url; on checklist
farm,cover,8,no,yes,merchant.coach.cover,yes,stores.cover_url; on checklist
farm,description,10,yes,yes,merchant.coach.description,yes,stores.description; on checklist
farm,brand_color,2,no,yes,merchant.coach.brandColor,yes,stores.accent_color
farm,custom_link,4,no,yes,merchant.coach.customLink,yes,stores.slug
farm,hours,8,no,yes,merchant.coach.hours,yes,stores.hours; farm-gate hours where they exist
farm,whatsapp,8,yes,yes,merchant.coach.whatsapp,yes,stores.whatsapp
farm,phone,4,no,yes,merchant.coach.phone,partial,stores.phone
farm,region_area,4,yes,yes,merchant.coach.area,partial,"stores.region + stores.area; provenance is part of the product in this sector"
farm,map_pin,8,yes,yes,merchant.coach.mapPin,partial,stores.lat/lng; buyers drive to the farm
farm,products,22,yes,yes,merchant.coach.products,yes,products table; generic checklist step fits this sector
farm,product_photos,6,no,yes,merchant.coach.productPhotos,partial,no photo-coverage check exists
farm,delivery_or_pickup,6,yes,yes,merchant.coach.fulfilment,partial,"stores.accepts_delivery / accepts_pickup; publish-blocking - a farm selling with neither has no way to hand over goods"
