issue_id,area,sector,severity,type,current_behavior,expected_behavior,evidence,recommended_fix,affected_file,status
MP-011,security,all,medium,authorization,"The store-assets bucket INSERT policy checks only bucket_id with no path scoping, and the UPDATE policy has no WITH CHECK, so any authenticated user can write anywhere in the bucket and move their own objects over another store's path prefix","Writes are scoped to the caller's own store path prefix, as the digital-goods bucket already does","supabase/migrations/0008_storage_bucket.sql:10-21; deferral acknowledged at 0077_security_hardening.sql:9-10; correct pattern at 0234_digital_products.sql:59-77",Add a store-UUID path prefix check to both policies mirroring digital_goods_owner_write,supabase/migrations/0008_storage_bucket.sql,partial
MP-012,security,retail,medium,integrity,"product_reviews_update_own has no WITH CHECK, so a reviewer can repoint product_id to a different product while keeping the rating; verified is stamped only before insert, so the moved review keeps a stale verified = true from an unrelated purchase","product_id is immutable after insert, or verified is re-evaluated on update",supabase/migrations/0050_product_reviews.sql:23-24 (policy) and :38-41 (before-insert-only verified stamp),Add WITH CHECK pinning product_id; add a before-update trigger that clears verified when product_id changes,supabase/migrations/0050_product_reviews.sql,closed-invalid
MP-013,security,all,medium,defence-in-depth,"55 directly callable SECURITY DEFINER functions have no REVOKE anywhere, so each is reachable from an anonymous client; most carry an internal guard so they are not exploitable, but the convention is unenforced","Every SECURITY DEFINER function is revoked from public, anon and authenticated and granted back explicitly","192 distinct SECURITY DEFINER functions, 120 with an explicit revoke; the anon/public revoke trap is documented in supabase/migrations/0258_actually_revoke_anon_from_hr_functions.sql:1-23","Add a CI check that fails a migration adding a SECURITY DEFINER function without a matching REVOKE line",supabase/migrations,partial
MP-014,security,all,low,authentication,"WebAuthn rpID and expectedOrigin are derived from the x-forwarded-host / host request header rather than an allow-list, and employee_devices stores no record of which rpID a credential was issued under","Host is validated against an allow-list and the rpID is stored alongside the credential",src/lib/webauthn.ts:16-20; credential lookup at src/app/api/clock/punch/route.ts:81-94,Allow-list production and explicit preview hosts; add an rp_id column to employee_devices,src/lib/webauthn.ts,open
MP-015,security,all,low,hardening,"private.app_config is the only table in the schema without RLS and it stores push_hook_secret in plaintext","Every table has RLS enabled, even in an unexposed schema",supabase/migrations/0049_push_on_events.sql:9-16,alter table private.app_config enable row level security; with no policy,supabase/migrations/0049_push_on_events.sql,fixed
MP-016,security,all,low,hardening,The push hook shared secret is compared with a plain !== inequality rather than a constant-time comparison,Secrets are compared in constant time,src/app/api/push/hook/route.ts:14,Use crypto.timingSafeEqual on equal-length buffers,src/app/api/push/hook/route.ts,fixed
MP-017,security,all,medium,abuse,"POST /api/clock/punch with step=options is unauthenticated and unrated: it distinguishes a valid short code from an invalid one (store enumeration) and writes an unbounded number of challenge rows","The options step is rate-limited per short code the way the registration path already is",src/app/api/clock/punch/route.ts:31-65; the registration path is capped at 5 attempts per 15 minutes by supabase/migrations/0264_limit_guesses_at_the_enrolment_code.sql,Apply the 0264 attempt-counting pattern to issue_webauthn_challenge for the authenticate purpose,src/app/api/clock/punch/route.ts,fixed
MP-018,security,all,low,documentation,"admin.ts states the service-role client ""exists for one job"" (signing digital-goods URLs) but there are three consumers, two of which perform arbitrary RLS-bypassing RPCs on behalf of unauthenticated requests","The comment names all current uses and states the rule governing a fourth","src/lib/supabase/admin.ts:5-16; consumers at src/app/api/clock/punch/route.ts:37, src/app/api/clock/register/route.ts:31, src/app/[lang]/download/[itemId]/route.ts:57",Update the comment to describe the entitlement-first rule and list the three approved uses,src/lib/supabase/admin.ts,open
MP-019,security,all,low,hardening,"Five SECURITY DEFINER functions pin search_path to 'public' rather than '', and two of those also reference bookings unqualified and are never revoked","All SECURITY DEFINER functions use search_path = '' with fully qualified references","supabase/migrations/0001_auth_profiles.sql:38; 0007_signup_account_type.sql:7; 0128_store_resources_timeslot.sql:38-39; 0130_store_classes.sql:42-44; 0132_hub_tool_events.sql:22","Qualify the references, set search_path = '', and revoke resource_booked_times and class_spots_taken from public and anon",supabase/migrations/0128_store_resources_timeslot.sql,open
MP-020,customer-experience,realEstate,high,i18n,"Lead status renders as the raw English database enum (new / contacted / closed) on the Arabic activity screen, because the status-label map for leads is passed as an empty object and there is no lead status block in the dictionary","Lead statuses render in the customer's language, like the other three transaction kinds","src/app/[lang]/(site)/activity/page.tsx:41 (lead: {}); fallback to raw status at src/components/activity-list.tsx:94; dict.activity in src/i18n/dictionaries/ar.json has no lead status keys","Add activity.leadStatus.{new,contacted,closed} to both dictionaries and pass it at activity/page.tsx:41","src/app/[lang]/(site)/activity/page.tsx",done
MP-021,customer-experience,all,medium,i18n,Activity card dates are formatted with a hardcoded Arabic locale regardless of the active language,Dates follow the active locale,src/components/activity-list.tsx:111,Pass lang into ActivityList and use it in toLocaleDateString,src/components/activity-list.tsx,fixed
MP-022,customer-experience,all,medium,ux,"Every activity status pill uses the same neutral bg-surface-muted, so a cancelled booking, a completed order and an order out for delivery look identical on the one screen that mixes four status vocabularies","Statuses map to the existing semantic Badge variants so a mixed list can be scanned",src/components/activity-list.tsx:133; unused semantic pairs at src/app/globals.css:29-48; existing variant map at src/components/ui/badge.tsx:17-24,Map each domain status to a Badge variant and render Badge instead of the hand-rolled span,src/components/activity-list.tsx,open
MP-023,customer-experience,all,medium,navigation,"Three of the four activity card types link to a list rather than to the item: bookings go to /bookings, craft requests to /crafts/requests, leads to /messages","Every activity card deep-links to its own detail screen, as orders already do","src/lib/data/activity.ts:108, :129, :152 (orders correct at :86); no /bookings/[id] or /crafts/requests/[id] route exists under src/app/[lang]/(site)/","Add the two missing detail routes, then point the cards at them; until then carry the identifying detail on the card",src/lib/data/activity.ts,open
MP-024,customer-experience,all,medium,navigation,"The المفضلة tab reaches /favorites (saved stores, follows table) only; saved products live at /wishlist which no tab reaches, and the two are named differently in the dictionary","One saved screen with store and product segments, reachable from the tab bar","src/components/bottom-nav.tsx:57; src/app/[lang]/(site)/favorites/page.tsx:39 (follows) vs src/app/[lang]/(site)/wishlist/page.tsx:46 (wishlist); favorites.title vs wishlist.title in src/i18n/dictionaries/ar.json","Merge into a segmented /favorites and redirect /wishlist, as /following already redirects (following/page.tsx:15)",src/components/bottom-nav.tsx,open
MP-025,customer-experience,all,medium,ux,"After placing an order a guest gets a deep link to /track/{orderId} but a signed-in customer gets a link to the /orders list, so the customer who gave more gets the worse follow-through","Both land on the specific order they just placed","src/components/store-products.tsx:994 (signed in, /orders) vs :1002 (guest, /track/{id}); the detail route exists at src/app/[lang]/(site)/orders/[id]/page.tsx",Point the signed-in link at /{lang}/orders/{placedOrderId},src/components/store-products.tsx,open
MP-026,customer-experience,all,medium,information-architecture,"65 customer routes exist against 11 active stores and 65 products, and whole sections (crafts with 0 providers, plus freelance, jobs, wholesale) are linked from primary navigation and the footer while unable to return three real results","Sections with fewer than three real items are unlinked from navigation and reachable only by URL and search, the way home rails are already gated","65 page.tsx files under src/app/[lang]/(site)/; crafts provider count of 0 recorded in audit/matjar-mobile-app-experience/19_REMAINING_ISSUES.md; the rail-gating precedent is src/lib/rail.ts",Extend the rail-gating rule to route level in the header and footer link sets,src/components/site-footer.tsx,open
MP-027,design-system,all,low,consistency,"The WhatsApp contact CTA is hand-rolled in at least eight places with four different heights (py-2, py-2.5, py-3, h-11) and raw emerald palette classes","One whatsapp variant on Button/ButtonLink with a single height and a token colour","src/components/store-products.tsx:986; src/app/[lang]/(site)/crafts/p/[id]/page.tsx:266; src/app/[lang]/(site)/delivery/page.tsx:88; src/app/[lang]/(site)/market/[id]/page.tsx:186; src/components/booking-panel.tsx:608; src/components/join-action.tsx:84; src/components/crm-manager.tsx:308 and :408",Add a whatsapp variant to ui/button.tsx and convert all eight sites,src/components/ui/button.tsx,open
MP-028,mobile,all,high,push,"The native shell requests notification permission for signed-in users and stores an FCM/APNs token, but nothing in the repo ever reads device_push_tokens to send, so the one-shot iOS permission prompt is spent on a channel that cannot deliver","Either the FCM sender exists, or the native permission request is gated off until it does","src/components/native-bridge.tsx:92-97 (permission) and :75-78 (token write); only other reference to device_push_tokens is supabase/migrations/0067_device_push_tokens.sql; MOBILE_APP.md names the sender as unbuilt","Gate native-bridge.tsx:92-97 behind a flag until the FCM HTTP v1 sender ships",src/components/native-bridge.tsx,fixed
MP-029,mobile,all,medium,push,"PushOptIn renders unconditionally, so inside the iOS binary it shows ""push not supported"" seconds after the app natively asked for push, and inside the Android binary a user can register both a Web Push subscription and an FCM token","The component detects the native platform and shows native notification state instead of the web control","src/components/push-opt-in.tsx:21-27 (support detection); rendered at src/app/[lang]/(site)/account/page.tsx:103 and src/components/push-notice.tsx:40; the platform check already exists at src/lib/native.ts:6",Branch PushOptIn on isNative() and render a native-settings message in the app,src/components/push-opt-in.tsx,open
MP-030,mobile,all,high,deep-links,"The Android manifest declares an autoVerify App Links intent filter for matjarlb.com but public/.well-known/ does not exist, so assetlinks.json and apple-app-site-association are not served and https links never open the installed app","Both verification files are served from the production origin so App Links and Universal Links resolve into the app","android/app/src/main/AndroidManifest.xml:26-31; public/ contains no .well-known directory and neither vercel.json nor next.config.ts rewrites one; handler wired at src/components/native-bridge.tsx:46-54","Host public/.well-known/assetlinks.json with the Android signing SHA-256, and apple-app-site-association with the Apple team id",public/.well-known,partial
MP-031,mobile,all,medium,pwa,"The manifest declares 192, 512 and maskable icons all pointing at one 512x512 file, and apple-icon.png is a byte-identical copy of icon.png, so Android crops the square asset for the maskable slot and iOS scales a 512 to 180","Real assets at 180, 192, 512 and a maskable variant with correct safe-zone padding","src/app/manifest.ts:20-24; src/app/icon.png and src/app/apple-icon.png are both 161750 bytes; carried forward as M-010 partial in audit/matjar-mobile-app-experience/19_REMAINING_ISSUES.md",Generate the icon set from a 1024 master with @capacitor/assets and update manifest.ts,src/app/manifest.ts,partial
MP-032,mobile,all,medium,layout,"The dashboard header has no top safe-area padding while viewportFit is cover globally, so on a notched device in an installed PWA or the Android shell the merchant header content sits under the status bar","Both headers pad for the top safe-area inset, as the customer header already does","src/app/[lang]/(dashboard)/layout.tsx:84 (no inset) vs src/components/site-header.tsx:38 (pt-[env(safe-area-inset-top)]); viewportFit set at src/app/[lang]/layout.tsx:64",Add pt-[env(safe-area-inset-top)] to the dashboard header,src/app/[lang]/(dashboard)/layout.tsx,open
MP-033,mobile,all,medium,layout,"The merchant mobile module strip is pinned at sticky top-16, a hardcoded 64px that assumes no safe-area inset, so where the inset exists it sits roughly 50px too high and tucks under the header","The offset is derived from the header height plus the safe-area inset",src/components/merchant-sidebar.tsx:273; header height is h-16 at src/app/[lang]/(dashboard)/layout.tsx:85,Use top-[calc(4rem+env(safe-area-inset-top))] and drive it from a corrected --m-header-h token,src/components/merchant-sidebar.tsx,open
MP-034,mobile,all,low,consistency,"Two different offline surfaces exist with different copy and treatment: the service worker's /offline.html and the Capacitor webDir fallback native-shell/index.html, and which one a user sees depends on when the network failed","One offline presentation, or a pure splash with no message in the native shell",public/offline.html served by public/sw.js:71-73; native-shell/index.html declared as webDir at capacitor.config.ts:16,Make native-shell/index.html visually identical to offline.html or strip its messaging,native-shell/index.html,open
MP-035,mobile,all,low,pwa,"The service worker cache name is a manual version string with no build step bumping it, so a change to offline.html or the shell asset list never reaches users already on v1","The cache key derives from the build id so a deploy always retires the previous cache",public/sw.js:6,Inject the Next build id into the cache name at build time,public/sw.js,open
MP-036,mobile,all,low,pwa,"No appleWebApp metadata is set, so apple-mobile-web-app-status-bar-style is absent and the installed PWA's notch area uses the browser default rather than the brand","The installed PWA declares its iOS status-bar style and title",no matches for appleWebApp or apple-mobile-web in src/; metadata block at src/app/[lang]/layout.tsx:32-57,"Add appleWebApp: { capable: true, statusBarStyle: 'default', title: 'متجر' } to the metadata export","src/app/[lang]/layout.tsx",open
MP-037,mobile,beauty,medium,ux,"The doctors module (Stethoscope icon) is reused as the generic team/provider screen for beauty, fitness, education, petCare and professional, so a salon's staff roster is labelled and iconified as doctors","Each sector's team module carries its own label and icon","src/lib/sectors.ts:271, :284, :310, :362, :375; the concept is already named team by sectorHasTeam() at sectors.ts:438",Add a per-sector label and icon override for the doctors module key without migrating the key itself,src/lib/sectors.ts,open
MP-038,performance,all,high,bundle,"/store/[id] statically imports every sector's transaction UI, so roughly 5029 lines of client TSX are reachable from one route and a butcher's storefront pulls the hotel date-range search, the event ticket flow, the class booker and the 1623-line cart and checkout component","Sector-specific transaction components load on demand for the sector the page has already resolved","src/app/[lang]/(site)/store/[id]/page.tsx imports 10 client components directly and src/components/store/store-products-section.tsx:12-13 adds store-products.tsx (1623) and booking-panel.tsx (1303); only store-map-client.tsx uses next/dynamic","Convert the nine sector-specific imports to next/dynamic keyed on the resolved experience; no component is restructured and the order-submit path is untouched","src/app/[lang]/(site)/store/[id]/page.tsx",done
MP-039,performance,retail,high,correctness,"product_variants for an entire store is fetched with no limit, so past the PostgREST 1000-row cap the response truncates silently and products are marked variant-free, routing them down the wrong add-to-cart path","The variant probe is bounded and truncation is detectable",src/lib/data/store-view.ts:165-171; the wrong-path consequence is described in the file's own comment,Paginate or batch the variant probe and log when a page returns exactly the cap,src/lib/data/store-view.ts,done
MP-040,performance,retail,medium,correctness,"The whole-store product query selects 16 columns with no limit, so a store past 1000 products silently stops showing the rest and the payload is unbounded",Store product reads are paginated,src/lib/data/store-view.ts:120-128,"Add an explicit limit with server-side pagination, mirroring the STORE_FETCH_LIMIT pattern at src/lib/data/stores.ts:68",src/lib/data/store-view.ts,open
MP-041,performance,all,medium,correctness,"getMyListings and markFavorites issue unbounded selects, so a seller past 1000 listings or a user following more than 1000 stores gets silently truncated data and wrong saved-state",Both queries are bounded and paginated,src/lib/data/market.ts:342-346; src/lib/data/stores.ts:149-151,Add limits and pagination; market.ts:245 already shows the .range() pattern,src/lib/data/market.ts,open
MP-042,performance,all,medium,tooling,"No bundle analyser is wired, so no per-route First Load JS number exists and every bundle decision including the deferred M-017 is unmeasurable","next build produces a per-route bundle report that gates performance work",audit/matjar-mobile-app-experience/15_PERFORMANCE.md records that Next does not print First Load JS in this configuration and that M-017 was deferred for exactly this reason,Wire @next/bundle-analyzer into next.config.ts before making any further bundle claim,next.config.ts,open
MP-043,performance,all,low,images,"Eight raw img elements bypass next/image optimisation, resizing and lazy loading, three of them on the public /hub/leaders/[slug] page","Content images use next/image; only canvas render targets stay as raw img","src/app/[lang]/(site)/hub/leaders/[slug]/page.tsx:133, :149, :342; src/components/hub/leaders-directory.tsx:222; src/components/store-portfolio.tsx:41; src/app/[lang]/(dashboard)/admin/leaders/page.tsx:80",Convert the six content images; leave store-share-card.tsx:52 and product-story-card.tsx:182 as-is since they feed a canvas,"src/app/[lang]/(site)/hub/leaders/[slug]/page.tsx",open
MP-044,performance,all,low,images,"placeholder=""blur"" is used zero times across the app, so image-first store and product cards pop in on a slow connection with no perceived-performance or layout-stability benefit",Card images ship a blur placeholder,no matches for placeholder=\"blur\" across src/; 99 Image usages across 55 files,Add blurDataURL and placeholder=blur to StoreCard and the product cards,src/components/store-card.tsx,open
MP-045,accessibility,all,high,contrast,"bg-accent-soft with text-accent-foreground measures 1.21:1 in the dark theme (near-black on dark brown), making the ""needs you"" activity badge, the flash countdown, the Pro badge, the Pro gate icon and the merchant drawer active state effectively invisible","All soft/foreground pairs clear 4.5:1 in both themes, as the other six semantic pairs already do","computed from src/app/globals.css:190-191 (dark --accent-foreground #0b1220 on --accent-soft #2b2410); used at src/components/activity-list.tsx:117, flash-countdown.tsx:40, pro-badge.tsx:5, pro-gate.tsx:42, merchant-sidebar.tsx:193; ui/badge.tsx:17-24 has no accent variant, which is why all five bypassed the primitive","Add an accent variant to ui/badge.tsx using --accent (#fbbf24 on #2b2410 = 9.23) and convert the five sites",src/components/ui/badge.tsx,fixed
MP-046,accessibility,all,high,forms,"64 label elements have neither htmlFor nor a wrapped control, so the inputs beside them have no accessible name; the cluster is in merchant forms that copied fieldClass instead of adopting the Field component","Every form control has a programmatically associated label","331 label elements total, 131 with htmlFor, 136 wrapping their control, 64 orphaned; verified in context at src/components/coupon-manager.tsx:146 and src/components/classes-manager.tsx:114; the intended migration is described at src/components/ui/field.tsx:1-10",Make htmlFor a required prop on Field and convert classes-manager (7) courses-manager (7) coupon-manager (6) and craft-services-manager,src/components/ui/field.tsx,fixed
MP-047,accessibility,all,high,navigation,"There is no skip-to-content link anywhere and main carries no id, so a keyboard user tabs the entire header on every one of 137 routes before reaching content","A skip link is the first focusable element and main is a valid target (WCAG 2.4.1)","no skip-link match across src/; main rendered without id at src/app/[lang]/(site)/layout.tsx:94 and src/app/[lang]/(dashboard)/layout.tsx:151","Add id=""main"" to both main elements and an sr-only focus:not-sr-only skip link in each layout","src/app/[lang]/(site)/layout.tsx",fixed
MP-048,accessibility,all,high,rtl,"dir=""auto"" is used zero times, so Latin-script store and product names inside the Arabic RTL document get bidi-reordered when they end in a number or neutral punctuation (Let's meat 2 renders as 2 Let's meat)","Every user-supplied name renders with dir=auto so direction follows the string's first strong character","no dir=\"auto\" match across src/; 116 uses of dir=\"ltr\" on phones and references only; Latin-named live stores recorded in audit/matjar-mobile-app-experience/19_REMAINING_ISSUES.md",Add dir=auto to store name product name customer name review author and address renderers,src/components/store-card.tsx,fixed
MP-049,accessibility,all,medium,contrast,"--border measures 1.19 to 1.42:1 against background and surface in both themes, and it is the sole boundary indicator for every input select and textarea, below the 3:1 required for non-text UI (WCAG 1.4.11)",Form control boundaries clear 3:1 while decorative dividers stay quiet,computed from src/app/globals.css:26 and :193; sole boundary at src/components/ui/field.tsx:12-16,Add a --border-strong token used only by form controls,src/app/globals.css,fixed
MP-050,accessibility,all,medium,rtl,"Four chevrons use ChevronLeft with rtl:rotate-180, which points left in LTR and right in RTL — wrong in both directions — on the activity card, the order row, the breadcrumb separator and the hub step sequence","Directional chevrons follow the dominant convention (ChevronRight with rtl:rotate-180, used 60 times)","src/components/activity-list.tsx:144; src/app/[lang]/(site)/orders/page.tsx:100; src/components/breadcrumbs.tsx:45; src/app/[lang]/(site)/hub/page.tsx:190; src/components/bookings-calendar.tsx:136 is correct (a back control) and is not part of this",Convert the four and extract a DirectionalChevron component to prevent recurrence,src/components/activity-list.tsx,fixed
MP-051,accessibility,all,medium,contrast,"White text on bg-emerald-600 measures 3.77:1 at text-sm (14px, not large text), on the primary contact-the-merchant action in a marketplace with no payment rail",The contact CTA clears 4.5:1,"computed for #ffffff on #059669; sites listed under MP-027; bg-emerald-700 (#047857) reaches 4.99",Use emerald-700 or a token pair inside the new whatsapp Button variant,src/components/ui/button.tsx,fixed
MP-052,accessibility,all,medium,semantics,"The mobile home page re-sequences sections with CSS order, so the DOM keeps the desktop order and a screen reader on a phone reads the old sequence — a meaningful-sequence failure (WCAG 1.3.2) with no ARIA remedy","One agreed section order in the DOM for both breakpoints, with lg: utilities used only for layout",documented as a known tradeoff in audit/matjar-mobile-app-experience/19_REMAINING_ISSUES.md,"Adopt the mobile sequence as the DOM sequence on both breakpoints (a product decision); if rejected, record the failure in an accessibility statement rather than a code comment","src/app/[lang]/(site)/page.tsx",fixed
MP-053,accessibility,all,medium,dialog,"The bottom sheet gives its backdrop and its close button the same aria-label (the sheet title), so a screen-reader user hears the title announced as a button twice; the visible h2 is also not connected to the dialog via aria-labelledby","The backdrop is aria-hidden, the close button says close, and the dialog is labelled by its heading","src/components/ui/bottom-sheet.tsx:82 and :106 (duplicate label), :90 vs :102 (aria-label instead of aria-labelledby)",Set aria-hidden and tabIndex -1 on the backdrop; give the h2 an id and use aria-labelledby,src/components/ui/bottom-sheet.tsx,fixed
MP-054,accessibility,all,medium,rtl,"The store cover position control is a horizontal input type=range driving a vertical objectPosition, and native range inputs reverse under dir=rtl, so an Arabic merchant drags left to increase while an English merchant drags right and both are adjusting a vertical band",A direction-agnostic control with named states,src/components/edit-store-form.tsx:211-221 (the only type=range in the codebase) driving objectPosition at :198,Replace with three labelled buttons (top / centre / bottom),src/components/edit-store-form.tsx,fixed
MP-055,accessibility,all,medium,rtl,"The .text-money class, which supplies tabular numerals and unicode-bidi isolation for currency inside Arabic text, is applied in only two files; elsewhere money relies on ad-hoc dir=ltr and tabular-nums and is not bidi-isolated",Every currency amount renders through .text-money,"defined at src/app/globals.css:305-310; used only at src/components/activity-list.tsx:137 and src/components/store-products.tsx:972; documented as house standard in audit/matjar-mobile-app-experience/05_MOBILE_DESIGN_SYSTEM.md",Apply .text-money at every money render site as part of the formatPrice consolidation (MP-061),src/app/globals.css,fixed
MP-056,accessibility,all,low,forms,"The Field component renders the required asterisk with aria-hidden and never sets required or aria-required on the control, so a screen-reader user learns a field is required only when submit fails",Required fields are announced as required,src/components/ui/field.tsx:44-49,Thread the required prop through to the child control,src/components/ui/field.tsx,fixed
MP-057,accessibility,all,low,contrast,"text-accent on bg-accent-soft measures 1.93:1 in the light theme, on an icon that carries meaning (needs 3:1 as non-text content)",Meaningful icons clear 3:1,"computed for #f59e0b on #fef3c7; used at src/app/[lang]/(site)/flash/page.tsx:95",Use --warning (4.90 on accent-soft) or the new accent Badge variant,"src/app/[lang]/(site)/flash/page.tsx",fixed
MP-058,accessibility,all,low,forms,"A label element is used to name a group of five theme buttons, which a label cannot do","Grouped controls use fieldset/legend or role=group with aria-labelledby",src/components/edit-store-form.tsx:230,Convert group labels to fieldset/legend,src/components/edit-store-form.tsx,fixed
MP-059,design-system,all,high,consistency,"The Card primitive is imported in 40 files while the literal rounded-xl/2xl border border-border bg-surface string appears 339 times, and there are only 13 rounded-none in 435 files — so every element is a bordered rounded box and the card no longer signals ""discrete actionable thing""","Card is the component, not a copied string, and lists of related rows are one card with hairline separators rather than N cards","counts across src/**/*.tsx; primitive at src/components/ui/card.tsx:24; clearest offender at src/components/activity-list.tsx:90-99 (space-y-3 list of individually carded rows)",Convert the highest-traffic lists to single-card hairline lists and migrate hand-rolled cards to ui/card,src/components/ui/card.tsx,open
